X,Y,Label
7003,16357,0
7116,16084,0
6659,15743,0
6967,15025,0
7278,15843,0
7162,15793,0
6683,16518,0
6968,16356,0
6716,15893,0
6430,15362,0
6612,16433,0
6504,17011,0
6771,16610,0
7107,16639,0
6826,17499,0
6655,14929,0
6541,15038,0
6196,16769,0
6726,16620,0
6606,15074,0
6660,15563,0
6329,15901,0
6003,15547,0
6212,15858,0
6564,15941,0
5993,15644,0
6327,16311,0
6428,15922,0
6561,16767,0
6491,16443,0
5943,15388,0
5712,16232,0
5821,15397,0
6169,15686,0
6120,15332,0
6370,15030,0
6331,15436,0
6097,15051,0
6795,15169,0
7259,16398,0
6572,14357,0
7234,14760,0
6493,16650,0
6358,16185,0
6272,15265,0
6277,14277,0
5776,15684,0
6267,15227,0
5918,15797,0
5949,14239,0
5845,14747,0
5709,15660,0
5774,14598,0
5888,15783,0
5515,13102,0
6003,14966,0
5817,14524,0
5970,14591,0
5851,15206,0
5996,15323,0
5816,14955,0
5949,13702,0
6200,14942,0
6396,14885,0
6123,15132,0
6539,15028,0
6803,14797,0
6301,15491,0
6871,15229,0
6454,14498,0
6194,15188,0
5936,14495,0
8260,18750,0
8380,18143,0
8088,16858,0
8156,17624,0
8186,17642,0
7739,18111,0
8543,19528,0
8419,17151,0
8101,18164,0
8548,17407,0
8484,16632,0
8266,17424,0
9016,17582,0
8885,18386,0
8449,17502,0
8201,17196,0
8020,18642,0
8137,18289,0
7919,16755,0
7593,18825,0
7289,17428,0
7305,17773,0
6767,16793,0
6622,18388,0
7015,18297,0
7133,18086,0
7471,18669,0
7430,17541,0
7322,17768,0
7780,16913,0
7103,18247,0
7622,18179,0
7378,18195,0
7642,17644,0
7637,18325,0
8004,18706,0
7586,18510,0
7040,19306,0
7588,18236,0
7409,18135,0
7959,17743,0
7532,18175,0
7825,19133,0
7583,18402,0
7307,18356,0
7522,18056,0
7527,18384,0
7855,17555,0
7784,18473,0
7592,18812,0
7330,18166,0
7114,18328,0
7420,16874,0
7945,16903,0
7343,19770,0
7904,17459,0
7650,18470,0
7007,18037,0
7093,17498,0
7372,18095,0
7433,18010,0
7274,18269,0
7206,18929,0
7381,17191,0
6949,17818,0
7569,18393,0
7594,17139,0
7842,17317,0
7909,17538,0
8373,17463,0
7235,18125,0
7118,17736,0
7532,17533,0
7571,19173,0
7485,18502,0
7394,18821,0
7532,18350,0
7505,17741,0
7710,18873,0
7533,18147,0
8256,19077,0
8495,19125,0
8811,18531,0
8494,19327,0
8855,18394,0
10077,19337,0
10862,19383,0
10642,20020,0
10442,20004,21
10406,20775,21
10677,18943,21
10250,18980,21
10432,19068,21
10270,19514,0
10440,20634,0
10629,20564,0
9786,20430,0
9639,19404,0
9658,20255,0
10225,19895,0
9425,18592,0
9600,20421,0
9360,21328,0
9396,19324,0
8879,18624,0
8607,18810,0
9389,18847,0
8915,20174,0
9381,19720,0
9064,20398,0
9134,18489,0
9149,18740,0
9634,19839,0
10021,19536,0
9019,20015,0
9330,18965,0
8915,20330,0
9712,21384,0
10281,18552,0
9442,19978,0
10146,19027,0
9874,18729,0
10115,19260,6
10283,18946,6
12936,20835,6
14652,20908,6
14670,21517,6
13714,21722,6
12596,21655,6
12537,20902,6
12891,20618,6
12876,20565,6
11572,21355,6
11333,20408,6
11363,21041,6
11238,20409,6
11191,21223,6
11605,20318,6
11527,20282,6
12094,20999,6
10982,19277,6
11604,18796,6
11375,20535,6
11838,21457,6
11672,21162,6
11756,21021,6
11155,20430,6
11250,21064,6
10976,19447,6
11163,20341,6
11825,20491,6
11910,22375,6
12216,21636,6
11297,19822,6
11312,20333,6
11347,20418,6
12038,19812,6
12155,21630,6
12711,20735,6
12491,22167,6
13344,21303,7
13752,22504,7
13490,22631,7
14902,22650,7
14984,21592,7
14365,21540,7
13465,21758,7
13262,22802,7
13268,22131,7
12519,21230,7
11661,20906,7
13189,21403,7
12842,21495,7
10891,21204,7
10314,19793,7
10481,20969,0
10595,20926,0
10410,20742,0
11082,20318,0
